title,description,genre_filtered,title_lower
Harry Potter and the Order of the Phoenix,door end silent corridor haunting harry pottter dreams else would waking middle night screaming terror harry lot mind fifth year hogwarts defense dark arts teacher personality like poisoned honey big surprise gryffindor quidditch team looming terror ordinary wizarding level exams things pale next growing threat must named threat neither magical government authorities hogwarts stop grasp darkness tightens harry must discover true depth strength friends importance boundless loyalty shocking price unbearable sacrifice fate depends harry potter order phoenix,fantasy,harry potter and the order of the phoenix
Pride and Prejudice,alternate cover edition since immediate success pride prejudice remained one popular novels english language jane austen called brilliant work darling child vivacious heroine elizabeth bennet delightful creature ever appeared print romantic clash opinionated elizabeth proud beau darcy splendid performance civilized sparring jane austen radiant wit sparkles characters dance delicate quadrille flirtation intrigue making book superb comedy manners regency england pride prejudice,romance,pride and prejudice
Animal Farm,librarian note alternate cover edition edition book farm taken overworked mistreated animals flaming idealism stirring slogans set create paradise progress justice equality thus stage set one telling satiric fables ever penned razor edged fairy tale grown ups records evolution revolution tyranny totalitarianism terrible animal farm first published stalinist russia seen target today devastatingly clear wherever whenever freedom attacked whatever banner cutting clarity savage comedy george orwell masterpiece meaning message still ferociously fresh animal farm,fantasy,animal farm
The Chronicles of Narnia,journeys end world fantastic creatures epic battles good evil could reader ask one book book lion witch wardrobe written clive staples lewis lewis stop six books followed together became known chronicles narnia past fifty years chronicles narnia transcended fantasy genre become part canon classic literature seven books masterpiece drawing reader land magic meets reality result fictional world whose scope fascinated generations edition presents seven books unabridged one impressive volume books presented chronlogical order chapter graced illustration original artist pauline baynes deceptively simple direct chronicles narnia continue captivate fans adventures characters truths speak readers ages even fifty years first published chronicles narnia,fantasy,the chronicles of narnia
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,four volume boxed set contains tolkien epic masterworks hobbit three volumes lord rings fellowship ring two towers return king hobbit bilbo baggins whisked away comfortable unambitious life hobbiton wizard gandalf company dwarves finds caught plot raid treasure hoard smaug magnificent large dangerous dragon lord rings tells great quest undertaken frodo baggins fellowship ring gandalf wizard hobbits merry pippin sam gimli dwarf legolas elf boromir gondor tall mysterious stranger called strider tolkien three volume masterpiece classic myth modern fairy tale story high heroic adventure set unforgettable landscape middle earth tolkien book boxed set hobbit lord rings,fantasy,j.r.r. tolkien 4-book boxed set: the hobbit and the lord of the rings
Gone with the Wind,scarlett hara beautiful spoiled daughter well georgia plantation owner must use every means disposal claw way poverty finds sherman march sea gone wind,romance,gone with the wind
The Fault in Our Stars,despite tumor shrinking medical miracle bought years hazel never anything terminal final chapter inscribed upon diagnosis gorgeous plot twist named augustus waters suddenly appears cancer kid support group hazel story completely rewritten insightful bold irreverent raw fault stars award winning author john green ambitious heartbreaking work yet brilliantly exploring funny thrilling tragic business alive love fault stars,romance,the fault in our stars
The Hitchhiker's Guide to the Galaxy,seconds earth demolished make way galactic freeway arthur dent plucked planet friend ford prefect researcher revised edition hitchhiker guide galaxy last fifteen years posing work actor together dynamic pair begin journey space aided quotes hitchhiker guide towel massively useful thing interstellar hitchhiker galaxy full fellow travelers zaphod beeblebrox two headed three armed hippie totally lunch president galaxy trillian zaphod girlfriend formally tricia mcmillan arthur tried cocktail party upon time zone marvin paranoid brilliant chronically depressed robot veet voojagig former graduate student obsessed disappearance ballpoint pens bought years hitchhiker guide galaxy,fantasy,the hitchhiker's guide to the galaxy
The Giving Tree,tree loved little boy begins story unforgettable perception beautifully written illustrated gifted versatile shel silverstein every day boy would come tree eat apples swing branches slide trunk tree happy boy grew older began want tree tree gave gave gave tender story touched sadness aglow consolation shel silverstein created moving parable readers ages offers affecting interpretation gift giving serene acceptance another capacity love return giving tree,fantasy,the giving tree
Wuthering Heights,find redesigned cover edition best selling norton critical edition based first edition novel fourth edition editor collated text several modern editions corrected number variants including accidentals text accompanied entirely new explanatory annotations new fourth edition twelve emily bronte letters regarding publication edition wuthering heights well evolution edition prose poetry selections author four reviews novel poetry selections author four reviews novel edward chitham insightful informative chronology creative process behind beloved work five major critical interpretations wuthering heights included three new fourth edition stuart daley considers importance chronology novel hillis miller examines wuthering heights problems genre critical reputation sandra gilbert assesses role victorian christianity plays novel martha nussbaum traces novel romanticism finally lin haire sargeant scrutinizes role heathcliff film adaptations wuthering heights chronology updated selected bibliography also included wuthering heights,romance,wuthering heights
Memoirs of a Geisha,literary sensation runaway bestseller brilliant debut novel presents seamless authenticity exquisite lyricism true confessions one japan celebrated geisha memoirs geisha enter world appearances paramount girl virginity auctioned highest bidder women trained beguile powerful men love scorned illusion unique triumphant work fiction romantic erotic suspenseful completely unforgettable memoirs geisha,romance,memoirs of a geisha
Alice's Adventures in Wonderland & Through the Looking-Glass,explain afraid sir said alice see alice sees white rabbit take watch waistcoat pocket decides follow sequence unusual events set motion mini book contains entire topsy turvy stories alice adventures wonderland looking glass accompanied practical notes martina pelouso memorable full colour illustrations alice adventures wonderland looking glass,fantasy,alice's adventures in wonderland & through the looking-glass
Jane Eyre,orphaned child jane felt outcast whole young life courage tested arrives thornfield hall hired brooding proud edward rochester care ward jane finds drawn troubled yet kind spirit falls love hard terrifying secret inside gloomy forbidding thornfield hall rochester hiding jane jane left heartbroken exiled jane eyre,romance,jane eyre
Les Misérables,introducing one famous characters literature jean valjean noble peasant imprisoned stealing loaf bread les mis rables ranks among greatest novels time victor hugo takes readers deep parisian underworld immerses battle good evil carries barricades uprising breathtaking realism unsurpassed modern prose within dramatic story themes capture intellect emotions crime punishment relentless persecution valjean inspector javert desperation prostitute fantine amorality rogue nardier universal desire escape prisons minds les mis rables gave victor hugo canvas upon portrayed criticism french political judicial systems portrait resulted larger life epic scope extravagant spectacle dazzles senses even touches heart les mis rables,romance,les misérables
Fahrenheit 451,guy montag fireman world television rules literature brink extinction firemen start fires rather put job destroy illegal commodities printed book along houses hidden montag never questions destruction ruin actions produce returning day bland life wife mildred spends day television family meets eccentric young neighbor clarisse introduces past people live fear present one sees world ideas books instead mindless chatter television mildred attempts suicide clarisse suddenly disappears montag begins question everything ever known fahrenheit,fantasy,fahrenheit 451
Romeo and Juliet,romeo juliet shakespeare creates violent world two young people fall love simply families disapprove montagues capulets engaged blood feud death filled setting movement love first sight lovers final union death seems almost inevitable yet play set extraordinary world become quintessential story young love part exquisite language easy respond young lovers romeo juliet,romance,romeo and juliet
The Alchemist,paulo coelho enchanting novel inspired devoted following around world story dazzling powerful simplicity soul stirring wisdom andalusian shepherd boy named santiago travels homeland spain egyptian desert search treasure buried near pyramids along way meets gypsy woman man calls king alchemist point santiago direction quest one knows treasure santiago able surmount obstacles path starts journey find worldly goods turns discovery treasure found within lush evocative deeply humane story santiago eternal testament transforming power dreams importance listening hearts illustration jim tierney alchemist,fantasy,the alchemist
Crime and Punishment,raskolnikov destitute desperate former student wanders slums petersburg commits random murder without remorse regret imagines great man napoleon acting higher purpose beyond conventional moral law embarks dangerous game cat mouse police investigator raskolnikov pursued growing voice conscience finds noose guilt tightening around neck sonya downtrodden prostitute offer chance redemption crime punishment,crime,crime and punishment
